accuracy,precision,recall,f1
85.3843669250646,0.8663744671261414,0.8395220134865164,0.8501516329216255
84.20542635658916,0.8522230836130675,0.8290878776645494,0.8384309316973496
82.04134366925064,0.8264778561712268,0.8095302885488973,0.8166844152183005
82.78423772609818,0.8320623206724057,0.8176096787529629,0.8238487969897822
81.31459948320413,0.8173655493956122,0.8037731317899738,0.8095982471418456
82.23514211886305,0.8242712530926936,0.8140981134972908,0.8182694968358044
82.55813953488372,0.8291826847090005,0.8161889263189223,0.8218417562406728
81.12080103359173,0.8154671811442219,0.7993341541163437,0.8061064099487871
80.8624031007752,0.8112606995924775,0.7968796838512611,0.8028916208734546
79.61886304909561,0.7985373870228761,0.785791092190795,0.7912275773105605
80.78165374677002,0.8095812866591284,0.7991467789317829,0.8037772108212199
79.73191214470285,0.8015345285538992,0.7866782717273807,0.7929265448116135
80.70090439276485,0.8126891832411426,0.7952164000035736,0.8023576359797883
79.00516795865633,0.7945366512300401,0.779160439333544,0.7856617667380399
79.52196382428941,0.7962189577089287,0.7859028038533484,0.7903647959954551
79.3766149870801,0.7967063859915718,0.7791514485150394,0.7863240676366227
80.03875968992247,0.8035400779759426,0.7893396482779638,0.7952798382220716
79.78036175710595,0.8054685162711687,0.7830888792864537,0.791952763873489
79.63501291989664,0.7988664552390367,0.7855322717260841,0.7912594686224641
78.87596899224806,0.7873627084352672,0.7780362340631801,0.7821292392692553
78.27842377260981,0.7843220441253375,0.7700262210694762,0.7760352845134308
78.69832041343669,0.786662459346371,0.7793571143547382,0.7820799317505546
79.16666666666666,0.7946528052738526,0.7807387894866809,0.7866683097678896
79.4250645994832,0.7919670646367849,0.7872039429198905,0.7891573665135857
78.56912144702842,0.7894244761613477,0.7738383377696656,0.7803695977999441
78.39147286821705,0.7840289001872697,0.7728157123279479,0.7776822750736544
78.45607235142118,0.7873621756362215,0.7701601839763926,0.7771118440184721
79.15051679586563,0.7953767961551561,0.7797966006799645,0.7862672884625913
79.00516795865633,0.7914389457766203,0.7797245697918945,0.7848019611846673
79.10206718346254,0.794700841174651,0.7777981337797142,0.7847247440168039
79.3766149870801,0.7935413756934278,0.7827550798017074,0.7873979107375145
78.24612403100775,0.7832687032506923,0.7726489762950454,0.7770912444787758
78.56912144702842,0.7856616631481886,0.7752415461429685,0.7798200008301676
77.82622739018088,0.7814532504340611,0.7684005644903552,0.7738490655237462
77.48708010335918,0.776472178774565,0.7598266344629708,0.7664831834180533
77.61627906976744,0.778071714824918,0.7643439472007826,0.7700092357926683
76.34043927648578,0.7598411225021634,0.7529597359673722,0.7560624167884565
78.47222222222221,0.7890813673742652,0.771281408150107,0.7785476546327015
77.39018087855297,0.77352443029584,0.762519400035377,0.7671644533121013
77.16408268733849,0.7724360614707971,0.762917232573443,0.7670747783249593
75.93669250645995,0.7628162442995844,0.7451725612272018,0.7521347664178974
77.5032299741602,0.7693343636576233,0.767542852864759,0.7683960665218222
77.35788113695091,0.7731746781324174,0.761892734085794,0.7667227338304085
77.27713178294574,0.7747386290863197,0.757883695975056,0.7647006261955757
78.16537467700259,0.7868314222746683,0.7656815104280609,0.7737535834465245
76.85723514211887,0.7708310140824134,0.7567668364658077,0.7626189108560947
77.0671834625323,0.7730931290641907,0.7592513451495811,0.7647874072905005
77.85852713178295,0.7811462376585703,0.7658980920340385,0.7720174780362882
77.5032299741602,0.7816825796156855,0.7613670958579685,0.7691281441384593
77.5032299741602,0.7769827519218883,0.7623807450450534,0.7684932267820973
76.08204134366925,0.7636838772371267,0.7466742213735461,0.7535528670725501
77.76162790697676,0.7815689029541405,0.7623539341123665,0.7696876891323843
76.53423772609818,0.7632045864996139,0.7547087190411697,0.7581961110474348
74.62855297157623,0.7425116779444104,0.7356756606389715,0.7386935471991224
76.08204134366925,0.758727209678927,0.7495714826425047,0.7535985107692804
76.17894056847545,0.7614172848034907,0.7468000578875698,0.7520245474461017
73.88565891472868,0.738387312112033,0.7255027380061977,0.7308833574892931
75.79134366925064,0.7556157275356298,0.7455610274629195,0.7498808776193807
76.42118863049096,0.7673192995084371,0.752310233701853,0.758483300521064
75.2422480620155,0.7550816220909264,0.7393767205144899,0.7446553506830454
74.87080103359173,0.750861954193914,0.7354872260049411,0.7416982293875408
74.56395348837209,0.7432991728393015,0.7338594052262263,0.7378977706189233
75.51679586563309,0.7592267070847741,0.7389161541607397,0.7466460013942955
75.90439276485789,0.7592763780949215,0.7504381403222972,0.753351599368517
75.40374677002583,0.7584781681907792,0.7380765090386802,0.7448013299986451
74.51550387596899,0.7455560733041278,0.732170631384894,0.736686640300534
73.65956072351422,0.7399065909935475,0.7268412315884561,0.7309580993347051
73.30426356589147,0.7343985717204481,0.7216617747318704,0.7262738189602068
74.70930232558139,0.7370058091997983,0.74079160634869,0.7387356388906096
75.59754521963823,0.750059431353714,0.7492669560448904,0.749603872296305
74.72545219638242,0.7432077023464482,0.742795582229403,0.7414572547278437
74.62855297157623,0.7407012436242167,0.7402175390802898,0.7404003422455759
72.38372093023256,0.7268356858539112,0.7072895538369531,0.7147165603517628
76.08204134366925,0.7671839352591722,0.7448909854761413,0.7527963402002239
74.72545219638242,0.7618597683331952,0.7315577299031562,0.7411297065417259
73.1266149870801,0.7357285457428571,0.7182074527122321,0.7240748274136909
74.98385012919897,0.7528910676104531,0.7383557401301614,0.743221967050526
73.96640826873386,0.7401648738008704,0.7302677307544941,0.73444268848429
75.69444444444444,0.7518456534800325,0.7470430123136164,0.7490841628886559
76.98643410852713,0.7777777104599443,0.7533682266190852,0.761307868069632
